Exercise,Video File,Reps,Sets,Rest Time (s),Duration (s),Intensity,Location,Goal,Timestamp,Feedback
rope cable hammer curl,data-ai/sampledata/rope cable hammer curl.mp4,23,1,0,27,High,Gym,Endurance,18-07-2025 00:00,Great form
pull-up-2,data-ai/sampledata/pull-up-2.mp4,8,1,0,18,High,Park,Endurance,21-07-2025 00:00,Needs improvement
machine shoulder press,data-ai/sampledata/machine shoulder press.mp4,7,1,3,34,Medium,Gym,Strength,27-06-2025 00:00,Great form
lat pull down,data-ai/sampledata/lat pulldown.mp4,10,2,2,25,Medium,Gym,Flexibility,04-07-2025 00:00,Needs improvement
jump rope(skipping),data-ai/sampledata/jump rope (skipping).mp4,27,1,0,13,HIgh,Home,Flexibility,21-07-2025 00:00,Great form
deadlift,data-ai/sampledata/deadlift.mp4,1,1,0,7,Medium,Gym,Strength,18-07-2025 00:00,Great form
boxing with a heavy bag,data-ai/sampledata/boxing with a heavy bag.mp4,10,1,0,24,Medium,Gym,Strength,21-07-2025 00:00,Try to increase reps
bent-over dumbell row,data-ai/sampledata/bent-over dumbbell row.mp4,7,1,0,13,High,Gym,Endurance,27-06-2025 00:00,Great form
bench press,data-ai/sampledata/bench press.mp4,4,1,0,16,High,Gym,Strength,04-07-2025 00:00,Try to increase reps
battle ropes workout,data-ai/sampledata/battle ropes workout.mp4,30,3,0,31,High,Gym,Flexibility,18-07-2025 00:00,Great form
barbell deadlift,data-ai/sampledata/barbell deadlift.mp4,13,1,0,19,Medium,Gym,Strength,21-07-2025 00:00,Needs improvement
pull-up-1,data-ai/sampledata/pull-up-1.mp4,21,3,3,26,Medium,Gym,Strength,27-06-2025 00:00,Try to increase reps
barbell bicep curl,data-ai/sampledata/barbell bicep curl.mp4,5,1,9,19,High,Gym,Strength,04-07-2025 00:00,Great form
