ID,Feature,Scenario,Expected Result,Last tested by,29-10-2025,01-11-2025,08-11-2025
1,Sign Up,"Valid email, strong password",Account created,kvamsi82,Fail,,
2,Sign Up,"Valid email, strong password - Edge Case",Account created,kvamsi82,Fail,,
3,Sign Up,"Valid email, strong password - Invalid Input",Proper error message,kvamsi82,Fail,,
4,Sign Up,"Valid email, weak password",Show strength warning,kvamsi82,Fail,,
5,Sign Up,"Valid email, weak password - Edge Case",Show strength warning,kvamsi82,Fail,,
6,Sign Up,"Valid email, weak password - Invalid Input",Proper error message,kvamsi82,Fail,,
7,Sign Up,Invalid email format,Show error,kvamsi82,Fail,,
8,Sign Up,Invalid email format - Edge Case,Show error,kvamsi82,Fail,,
9,Sign Up,Invalid email format - Invalid Input,Proper error message,kvamsi82,Fail,,
10,Sign Up,Duplicate email,Show 'email already exists' error,kvamsi82,Fail,,
11,Sign Up,Duplicate email - Edge Case,Show 'email already exists' error,kvamsi82,Fail,,
12,Sign Up,Duplicate email - Invalid Input,Proper error message,kvamsi82,Fail,,
13,Sign Up,Empty email field,Validation error,kvamsi82,Fail,,
14,Sign Up,Empty email field - Edge Case,Validation error,kvamsi82,Fail,,
15,Sign Up,Empty email field - Invalid Input,Proper error message,kvamsi82,Fail,,
16,Sign Up,Empty password field,Validation error,kvamsi82,Fail,,
17,Sign Up,Empty password field - Edge Case,Validation error,kvamsi82,Fail,,
18,Sign Up,Empty password field - Invalid Input,Proper error message,kvamsi82,Fail,,
19,Sign Up,Password less than 8 chars,Show error,kvamsi82,Fail,,
20,Sign Up,Password less than 8 chars - Edge Case,Show error,kvamsi82,Fail,,
21,Sign Up,Password less than 8 chars - Invalid Input,Proper error message,kvamsi82,Fail,,
22,Sign Up,Password without special char,Show error,kvamsi82,Fail,,
23,Sign Up,Password without special char - Edge Case,Show error,kvamsi82,Fail,,
24,Sign Up,Password without special char - Invalid Input,Proper error message,kvamsi82,Fail,,
25,Sign Up,Sign up with Google,Account created,kvamsi82,Fail,,
26,Sign Up,Sign up with Google - Edge Case,Account created,kvamsi82,Fail,,
27,Sign Up,Sign up with Google - Invalid Input,Proper error message,kvamsi82,Fail,,
28,Sign Up,Sign up with Facebook,Account created,kvamsi82,Fail,,
29,Sign Up,Sign up with Facebook - Edge Case,Account created,kvamsi82,Fail,,
30,Sign Up,Sign up with Facebook - Invalid Input,Proper error message,kvamsi82,Fail,,
31,Sign Up,Sign up with existing username,Show error,kvamsi82,Fail,,
32,Sign Up,Sign up with existing username - Edge Case,Show error,kvamsi82,Fail,,
33,Sign Up,Sign up with existing username - Invalid Input,Proper error message,kvamsi82,Fail,,
34,Sign Up,User accepts terms & conditions,Success,kvamsi82,Fail,,
35,Sign Up,User accepts terms & conditions - Edge Case,Success,kvamsi82,Fail,,
36,Sign Up,User accepts terms & conditions - Invalid Input,Proper error message,kvamsi82,Fail,,
37,Sign Up,User skips terms & conditions,Show warning,kvamsi82,Fail,,
38,Sign Up,User skips terms & conditions - Edge Case,Show warning,kvamsi82,Fail,,
39,Sign In,User skips terms & conditions - Invalid Input,Proper error message,kvamsi82,Fail,,
40,Sign In,Correct username + password,Login success,kvamsi82,Fail,,
41,Sign In,Correct username + password - Edge Case,Login success,kvamsi82,Fail,,
42,Sign In,Correct username + password - Invalid Input,Proper error message,kvamsi82,Fail,,
43,Sign In,Correct username + wrong password,Show error,kvamsi82,Fail,,
44,Sign In,Correct username + wrong password - Edge Case,Show error,kvamsi82,Fail,,
45,Sign In,Correct username + wrong password - Invalid Input,Proper error message,kvamsi82,Fail,,
46,Sign In,Wrong username + any password,Show error,kvamsi82,Fail,,
47,Sign In,Wrong username + any password - Edge Case,Show error,kvamsi82,Fail,,
48,Sign In,Wrong username + any password - Invalid Input,Proper error message,kvamsi82,Fail,,
49,Sign In,Empty username,Show validation error,kvamsi82,Fail,,
50,Sign In,Empty username - Edge Case,Show validation error,kvamsi82,Fail,,
51,Sign In,Empty username - Invalid Input,Proper error message,kvamsi82,Fail,,
52,Sign In,Empty password,Show validation error,kvamsi82,Fail,,
53,Sign In,Empty password - Edge Case,Show validation error,kvamsi82,Fail,,
54,Sign In,Empty password - Invalid Input,Proper error message,kvamsi82,Fail,,
55,Sign In,Password less than 8 chars,Show error,kvamsi82,Fail,,
56,Sign In,Password less than 8 chars - Edge Case,Show error,kvamsi82,Fail,,
57,Sign In,Password less than 8 chars - Invalid Input,Proper error message,kvamsi82,Fail,,
58,Sign In,Locked account login attempt,Show error,kvamsi82,Fail,,
59,Sign In,Locked account login attempt - Edge Case,Show error,kvamsi82,Fail,,
60,Sign In,Locked account login attempt - Invalid Input,Proper error message,kvamsi82,Fail,,
61,Sign In,Sign in with Google,Success,kvamsi82,Fail,,
62,Sign In,Sign in with Google - Edge Case,Success,kvamsi82,Fail,,
63,Sign In,Sign in with Google - Invalid Input,Proper error message,kvamsi82,Fail,,
64,Sign In,Sign in with Facebook,Success,kvamsi82,Fail,,
65,Sign In,Sign in with Facebook - Edge Case,Success,kvamsi82,Fail,,
66,Sign In,Sign in with Facebook - Invalid Input,Proper error message,kvamsi82,Fail,,
67,Sign In,Sign in with inactive account,Show error,kvamsi82,Fail,,
68,Sign In,Sign in with inactive account - Edge Case,Show error,kvamsi82,Fail,,
69,Sign In,Sign in with inactive account - Invalid Input,Proper error message,kvamsi82,Fail,,
70,Sign In,Login attempt after multiple failures,Account locked,kvamsi82,Fail,,
71,Sign In,Login attempt after multiple failures - Edge Case,Account locked,kvamsi82,Fail,,
72,Sign In,Login attempt after multiple failures - Invalid Input,Proper error message,kvamsi82,Fail,,
73,Sign In,Session timeout after inactivity,Redirect to login,kvamsi82,Fail,,
74,Sign In,Session timeout after inactivity - Edge Case,Redirect to login,kvamsi82,Fail,,
75,Dashboard,Session timeout after inactivity - Invalid Input,Proper error message,kvamsi82,Fail,,
76,Dashboard,View weekly streaks when logged in,Display correctly,kvamsi82,Fail,,
77,Dashboard,View weekly streaks when logged in - Edge Case,Display correctly,kvamsi82,Fail,,
78,Dashboard,View weekly streaks when logged in - Invalid Input,Proper error message,kvamsi82,Fail,,
79,Dashboard,View calories burnt,Display correctly,kvamsi82,Fail,,
80,Dashboard,View calories burnt - Edge Case,Display correctly,kvamsi82,Fail,,
81,Dashboard,View calories burnt - Invalid Input,Proper error message,kvamsi82,Fail,,
82,Dashboard,View workout history,Display correctly,kvamsi82,Fail,,
83,Dashboard,View workout history - Edge Case,Display correctly,kvamsi82,Fail,,
84,Dashboard,View workout history - Invalid Input,Proper error message,kvamsi82,Fail,,
85,Dashboard,View BMI status,Display correctly,kvamsi82,Fail,,
86,Dashboard,View BMI status - Edge Case,Display correctly,kvamsi82,Fail,,
87,Dashboard,View BMI status - Invalid Input,Proper error message,kvamsi82,Fail,,
88,Dashboard,Access dashboard without login,Redirect to login,kvamsi82,Fail,,
89,Dashboard,Access dashboard without login - Edge Case,Redirect to login,kvamsi82,Fail,,
90,Dashboard,Access dashboard without login - Invalid Input,Proper error message,kvamsi82,Fail,,
91,Dashboard,Check dashboard loading time,Should load < 2 sec,kvamsi82,Fail,,
